date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2006-01-04,sz.000651,0.6740811100,0.6740811100,0.6740811100,0.6740811100,0.6740811100,0,0.0000,2,,0,0.000000,11.406189,2.099725,0.332304,-6.123390,0
2006-01-05,sz.000651,0.7416842300,0.7416842300,0.7338838700,0.7416842300,0.6740811100,10409638,118755633.8500,2,4.893424,1,10.028930,12.550108,2.310305,0.365631,-6.737500,0
2006-01-06,sz.000651,0.7663853700,0.7839361800,0.7540348000,0.7806860300,0.7416842300,7409891,87654090.8800,2,3.483286,1,5.258549,13.210061,2.431794,0.384858,-7.091794,0
2006-01-09,sz.000651,0.7813360600,0.7832861500,0.7605351000,0.7754857900,0.7806860300,3262935,38566631.1100,2,1.533860,1,-0.666111,13.122067,2.415595,0.382294,-7.044555,0
2006-01-10,sz.000651,0.7767858500,0.7767858500,0.7598850700,0.7650853100,0.7754857900,4353048,51149988.6100,2,2.046307,1,-1.341155,12.946080,2.383199,0.377167,-6.950077,0
2006-01-11,sz.000651,0.7735357000,0.8092873500,0.7605351000,0.7650853100,0.7650853100,3113494,37511969.6900,2,1.463610,1,0.000000,12.946080,2.383199,0.377167,-6.950077,0
2006-01-12,sz.000651,0.7735357000,0.8008369600,0.7683354600,0.7943366600,0.7650853100,3278141,40043600.0000,2,1.541008,1,3.823278,13.441044,2.474315,0.391587,-7.215797,0
2006-01-13,sz.000651,0.7930366000,0.7930366000,0.7670354000,0.7728856700,0.7943366600,2105875,25219876.5300,2,0.989942,1,-2.700490,13.078070,2.407496,0.381012,-7.020936,0
2006-01-16,sz.000651,0.7728856700,0.7865363000,0.7670354000,0.7722356400,0.7728856700,2034207,24299318.9000,2,0.956252,1,-0.084106,13.067071,2.405471,0.380692,-7.015031,0
2006-01-17,sz.000651,0.7670354000,0.7767858500,0.7611851300,0.7644352800,0.7722356400,969767,11407921.7400,2,0.455874,1,-1.010100,12.935080,2.381174,0.376846,-6.944172,0
2006-01-18,sz.000651,0.7605351000,0.7728856700,0.7592350400,0.7670354000,0.7644352800,1920750,22616218.2700,2,0.902918,1,0.340136,12.979077,2.389273,0.378128,-6.967791,0
2006-01-19,sz.000651,0.7683354600,0.7819860900,0.7637852500,0.7741857300,0.7670354000,954304,11368645.8500,2,0.448605,1,0.932200,13.100069,2.411546,0.381653,-7.032745,0
2006-01-20,sz.000651,0.7741857300,0.7832861500,0.7572849500,0.7800360000,0.7741857300,2218495,26584488.8000,2,1.042883,1,0.755669,13.199062,2.429769,0.384537,-7.085890,0
2006-01-23,sz.000651,0.7800360000,0.7865363000,0.7676854300,0.7715856100,0.7800360000,1035500,12420326.2200,2,0.486774,1,-1.083334,13.056072,2.403447,0.380371,-7.009126,0
2006-01-24,sz.000651,0.7702855500,0.7787359400,0.7520847100,0.7533847700,0.7715856100,1574177,18296590.7400,2,0.739998,1,-2.358886,12.748094,2.346752,0.371399,-6.843788,0
2006-01-25,sz.000651,0.7540348000,0.7611851300,0.7345339000,0.7416842300,0.7533847700,2308996,26434856.4100,2,1.085427,1,-1.553066,12.550108,2.310305,0.365631,-6.737500,0
2006-02-06,sz.000651,0.7527347400,0.7696355200,0.7442843500,0.7657353400,0.7416842300,1113094,13028235.7100,2,0.523250,1,3.242769,12.957079,2.385223,0.377487,-6.955982,0
